네이밍,Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10,Board11,Board12,Board13,Board14,Board15,Board16,Board17,Board18,Board19,Board20,Board21,Board22,Board23,Board24,Board25,Board26,Board27,Board28
오브젝트_X좌표,,,,,6,,,5,,3,3,,,,,5,,,4,7,4,6,,,,,7,7
오브젝트_Y좌표,,,,,3,,,3,,6,5,,,,,5,,,4,8,8,2,,,,,5,2
오브젝트_층,,,,,1,,,1,,1,1,,,,,1,,,1,1,1,1,,,,,1,1
오브젝트종류,,,,,0,,,0,,0,0,,,,,0,,,0,1,0,0,,,,,1,0
오브젝트방향,,,,,좌,,,좌,,하,우,,,,,우,,,상,상,하,상,,,,,하,하
오브젝트_X좌표,,,,,7,,,6,,4,3,,,,,6,,,2,6,9,5,,,,,7,1
오브젝트_Y좌표,,,,,5,,,3,,6,6,,,,,6,,,3,2,9,6,,,,,4,7
오브젝트_층,,,,,1,,,1,,1,1,,,,,1,,,1,1,1,1,,,,,1,1
오브젝트종류,,,,,,,,0,,0,0,,,,,0,,,0,0,0,0,,,,,1,0
오브젝트방향,,,,,,,,상,,하,하,,,,,좌,,,상,하,상,상,,,,,좌,하
오브젝트_X좌표,,,,,,,,3,,6,3,,,,,6,,,4,6,10,7,,,,,3,2
오브젝트_Y좌표,,,,,,,,2,,6,7,,,,,5,,,3,5,9,6,,,,,3,7
오브젝트_층,,,,,,,,1,,1,1,,,,,1,,,1,1,1,1,,,,,1,1
오브젝트종류,,,,,,,,0,,0,0,,,,,0,,,0,1,0,1,,,,,0,0
오브젝트방향,,,,,,,,우,,우,우,,,,,우,,,상,하,우,우,,,,,좌,하
오브젝트_X좌표,,,,,,,,5,,4,4,,,,,7,,,5,6,8,4,,,,,4,3
오브젝트_Y좌표,,,,,,,,2,,7,3,,,,,5,,,2,8,8,8,,,,,3,7
오브젝트_층,,,,,,,,1,,1,1,,,,,1,,,1,1,1,1,,,,,1,1
오브젝트종류,,,,,,,,,,0,0,,,,,1,,,1,0,0,0,,,,,0,0
오브젝트방향,,,,,,,,,,우,하,,,,,상,,,좌,하,우,하,,,,,좌,하
오브젝트_X좌표,,,,,,,,,,5,4,,,,,7,,,7,0,9,4,,,,,5,4
오브젝트_Y좌표,,,,,,,,,,7,4,,,,,4,,,2,2,8,9,,,,,3,7
오브젝트_층,,,,,,,,,,1,1,,,,,1,,,1,2,1,1,,,,,1,1
오브젝트종류,,,,,,,,,,0,0,,,,,0,,,,0,0,0,,,,,0,0
오브젝트방향,,,,,,,,,,좌,좌,,,,,좌,,,,하,우,좌,,,,,우,하
오브젝트_X좌표,,,,,,,,,,6,4,,,,,7,,,,0,7,7,,,,,2,5
오브젝트_Y좌표,,,,,,,,,,7,5,,,,,3,,,,8,7,8,,,,,2,7
오브젝트_층,,,,,,,,,,1,1,,,,,1,,,,2,1,1,,,,,1,1
오브젝트종류,,,,,,,,,,0,0,,,,,,,,,0,0,0,,,,,0,0
오브젝트방향,,,,,,,,,,하,우,,,,,,,,,상,좌,하,,,,,하,하
오브젝트_X좌표,,,,,,,,,,7,4,,,,,,,,,2,10,7,,,,,3,6
오브젝트_Y좌표,,,,,,,,,,7,6,,,,,,,,,3,7,9,,,,,2,7
오브젝트_층,,,,,,,,,,1,1,,,,,,,,,2,1,1,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,0,0
오브젝트방향,,,,,,,,,,,상,,,,,,,,,하,상,상,,,,,하,하
오브젝트_X좌표,,,,,,,,,,,4,,,,,,,,,2,9,2,,,,,4,7
오브젝트_Y좌표,,,,,,,,,,,7,,,,,,,,,7,6,1,,,,,2,7
오브젝트_층,,,,,,,,,,,1,,,,,,,,,2,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,상,,,,,,,,,하,상,좌,,,,,하,우
오브젝트_X좌표,,,,,,,,,,,5,,,,,,,,,3,10,3,,,,,5,1
오브젝트_Y좌표,,,,,,,,,,,3,,,,,,,,,8,6,1,,,,,2,3
오브젝트_층,,,,,,,,,,,1,,,,,,,,,2,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,우,,,,,,,,,하,좌,우,,,,,우,좌
오브젝트_X좌표,,,,,,,,,,,5,,,,,,,,,3,2,1,,,,,6,1
오브젝트_Y좌표,,,,,,,,,,,4,,,,,,,,,3,4,3,,,,,2,6
오브젝트_층,,,,,,,,,,,1,,,,,,,,,2,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,좌,,,,,,,,,상,상,좌,,,,,우,상
오브젝트_X좌표,,,,,,,,,,,5,,,,,,,,,3,0,3,,,,,2,2
오브젝트_Y좌표,,,,,,,,,,,5,,,,,,,,,2,3,3,,,,,1,3
오브젝트_층,,,,,,,,,,,1,,,,,,,,,2,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,상,,,,,,,,,,하,상,,,,,우,좌
오브젝트_X좌표,,,,,,,,,,,5,,,,,,,,,,1,5,,,,,3,2
오브젝트_Y좌표,,,,,,,,,,,6,,,,,,,,,,3,4,,,,,1,6
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,우,,,,,,,,,,상,좌,,,,,하,하
오브젝트_X좌표,,,,,,,,,,,5,,,,,,,,,,2,6,,,,,4,3
오브젝트_Y좌표,,,,,,,,,,,7,,,,,,,,,,3,4,,,,,1,3
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,상,,,,,,,,,,좌,상,,,,,하,우
오브젝트_X좌표,,,,,,,,,,,6,,,,,,,,,,3,5,,,,,5,3
오브젝트_Y좌표,,,,,,,,,,,3,,,,,,,,,,3,5,,,,,1,6
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,2
오브젝트방향,,,,,,,,,,,상,,,,,,,,,,상,좌,,,,,상,상
오브젝트_X좌표,,,,,,,,,,,6,,,,,,,,,,1,5,,,,,6,4
오브젝트_Y좌표,,,,,,,,,,,4,,,,,,,,,,2,6,,,,,1,3
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,1,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,2
오브젝트방향,,,,,,,,,,,상,,,,,,,,,,좌,하,,,,,,좌
오브젝트_X좌표,,,,,,,,,,,6,,,,,,,,,,2,6,,,,,,4
오브젝트_Y좌표,,,,,,,,,,,5,,,,,,,,,,2,6,,,,,,6
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,1
오브젝트종류,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,좌,,,,,,,,,,좌,,,,,,,하
오브젝트_X좌표,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,5
오브젝트_Y좌표,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,3
오브젝트_층,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,,,,,,,,,,,하,,,,,,,우
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,7,,,,,,,5
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,3,,,,,,,6
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,,,,,,,,,,,좌,,,,,,,상
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,8,,,,,,,6
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,,,,,,,,,,,상,,,,,,,좌
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,,,,,,,,,,,좌,,,,,,,상
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,9,,,,,,,7
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2
오브젝트방향,,,,,,,,,,,,,,,,,,,,,우,,,,,,,우
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,6,,,,,,,7
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,0,,,,,,,6
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
오브젝트종류,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,상,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오브젝트_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
