네이밍,Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10,Board11,Board12,Board13,Board14,Board15,Board16,Board17,Board18,Board19,Board20,Board21,Board22,Board23,Board24,Board25,Board26,Board27,Board28
계단방향,,,,,,,,,,,,,,,,,,,,아래,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단인덱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단방향,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_X좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_Y좌표,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계단_층,,,,,,,,,,,,,,,,,,,,,,,,,,,,
